Iteration	Y	var_1	var_2
1.0	-3.4685835688311517	0.0	0.0
2.0	-3.3091150737873254	0.26075715207386524	41.342000757986696
3.0	-3.5275254610548297	0.18436773213312477	18.10795469492563
4.0	-2.759058075417994	50.0	50.0
5.0	-2.7703360443313576	-50.0	50.0
6.0	-2.290719772920364	50.0	-50.0
7.0	-2.2718236473449296	-50.0	-50.0
8.0	-3.3319728694977693	25.0	25.0
9.0	-3.330649301445383	-25.0	25.0
10.0	-2.8913106944909193	25.0	-25.0
11.0	-2.870598274400011	-25.0	-25.0
12.0	-3.5272567670097006	0.3830307315368238	18.15660637647773
13.0	-3.5300593800975015	0.10118873349031555	12.792669821525456
14.0	-1.7436025083111661	100.0	100.0
15.0	-1.7520582679122183	-100.0	100.0
16.0	-2.0718406154248337	99.50452517851738	-5.109613339497934
17.0	-1.392722748593081	-100.0	-100.0
18.0	-3.516536356366367	6.2984879913288285	11.931814014998249
19.0	-1.4183078043580089	98.21153334833464	-99.62589546147574
20.0	-2.074208563988658	-99.79670564457155	-3.1391237379212384
21.0	-2.3358959890055706	5.647604813670483	99.03246750088931
22.0	-1.832995647618182	-6.548938600508578	-98.68848484811943
23.0	-3.473881713225203	-12.517219828842812	12.548704032574548
24.0	-3.520734665453987	5.448099448284751	17.17318334059135
25.0	-3.523620627485649	-3.8835326949826765	17.283328795093794
26.0	-2.2087390638887636	-42.30044503202255	99.25436385145397
